n,total
50000,112
100000,194
150000,325
200000,517
250000,653
300000,753
350000,1157
400000,1221
450000,1313
500000,1455
550000,1536
600000,1669
650000,1724
700000,1922
750000,1856
800000,2075
850000,2137
900000,2350
950000,2517
