n,t
0,0
2000000,397
4000000,807
6000000,1362
8000000,3035
10000000,4302
12000000,2530
14000000,3509
16000000,12189
18000000,11347
20000000,5405
22000000,5775
24000000,10775
26000000,26116
28000000,27176
30000000,30706
32000000,34914
34000000,37607
36000000,39432
