n,total
1,4.850579
2,4.870022
2,4.829351
2,4.805081
5,4.877198
5,4.890449
5,4.909631
10,4.931506
10,4.907021
10,4.931639
20,4.962263
20,4.931422
20,4.941066
50,5.193488
50,5.154951
50,5.147006
100,5.517801
100,5.507204
100,5.606652
200,6.189218
200,6.238682
200,6.249544
500,8.731698
500,8.876286
500,8.969683
1000,14.132415
1000,14.067549
1000,14.166434
2000,29.953211
2000,29.715632
2000,29.710652
5000,126.313700
5000,126.466802
5000,125.633606
