n,total
0,4
50000,499
100000,1028
150000,1410
200000,1979
250000,2614
300000,3285
350000,4079
400000,4944
450000,5944
500000,6939
550000,8114
600000,9260
650000,10720
700000,12258
750000,13758
800000,16941
850000,17504
900000,20013
950000,21412
