n,t
0,0
50000,50
100000,93
150000,226
200000,170
250000,533
300000,461
350000,393
400000,323
450000,3172
500000,3827
550000,3612
600000,3947
650000,4908
700000,5402
750000,5243
800000,4697
850000,7409
900000,8241
950000,8187
