n,total
20000,43
40000,84
60000,107
80000,130
100000,161
120000,222
140000,253
160000,290
180000,369
200000,397
220000,449
240000,602
260000,657
280000,704
300000,766
320000,767
340000,838
360000,1367
380000,1820
400000,2829
420000,3169
440000,3359
460000,3719
480000,4147
500000,4554
520000,4684
540000,5032
560000,5441
580000,5844
600000,6310
620000,6867
640000,7038
660000,7365
